case,source,dp,time_mid,interface_index,interface_r_over_R,fv_gradient_flux
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,1,0.2,-0.013192882715128303
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,2,0.4,0.002116791442629229
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,3,0.6,0.05087861080158074
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,4,0.8,0.5889989841696669
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,5,0.9,1.4196684597979092
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,6,0.95,0.6828130038306847
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,7,1.0,33.915620965686216
mode6_shell_dp008,C5k mode6 shell,0.008,0.0035390000000000005,0,0.0,0.0
mode6_shell_dp008,C5k mode6 shell,0.008,0.0035390000000000005,1,0.2,-0.05604866255346022
mode6_shell_dp008,C5k mode6 shell,0.008,0.0035390000000000005,2,0.4,0.009536040657968065
mode6_shell_dp008,C5k mode6 shell,0.008,0.0035390000000000005,3,0.6,0.09046716747575215
mode6_shell_dp008,C5k mode6 shell,0.008,0.0035390000000000005,4,0.8,0.6461252272792781
mode6_shell_dp008,C5k mode6 shell,0.008,0.0035390000000000005,5,0.9,0.6008886372618601
